sample_id,fault_type,motor_load_hp,rpm,sampling_rate_hz,rms,std,peak,peak_to_peak,kurtosis,skewness,crest_factor,shape_factor
1,Outer_Race,1,1772,12000,0.11906148850519908,0.09394062830682762,0.6436578341574845,1.146397413856544,4.495744468653396,-0.204938482192711,5.406095978124595,1.2430791302535218
2,Normal,0,1797,12000,0.13693484162436673,0.11644870317129759,0.2949042670373571,0.621480214839495,2.2739414790558654,-0.1442490928443834,2.1536101662594005,1.2306893142670208
3,Inner_Race,1,1772,12000,0.21066020642158922,0.18402672069998177,0.5895882152019551,1.120788655484271,4.63899600854854,0.008590312911240267,2.79876406283409,1.1848795217666295
4,Normal,2,1750,12000,0.14274859885030178,0.13647603302510505,0.3067098846588417,0.6168754881049361,2.053089825846112,-0.19440148193706677,2.148601717488545,1.2906611508921806
5,Inner_Race,3,1730,12000,0.16542761006893805,0.12520996839947815,0.6387458184754201,1.153143828629825,5.463169827525698,-0.07943838435437856,3.8611802359306155,1.0960312328906912
6,Inner_Race,0,1797,12000,0.22512088800605795,0.17850216405897362,0.6556173760695301,1.175355041983153,5.938350466970202,0.4298751702007291,2.9122902893483946,1.231714224920484
7,Ball,2,1750,12000,0.15878777060983912,0.13221305133138175,0.6231083576241092,1.3920096410859557,5.945057102519245,0.02385975962193403,3.924158360754131,1.4233964198201603
8,Ball,3,1730,12000,0.3418985018439885,0.30523775853873975,0.8158322717129202,1.423854049951416,5.665853768747097,0.2538788041207324,2.386182645764245,1.3630169764248885
9,Inner_Race,0,1797,12000,0.2493676387701411,0.2085787097271956,0.6265403623819547,1.0674080591522128,4.82086603945945,0.06817364243624399,2.5125167221857483,1.2593235533322764
10,Inner_Race,3,1730,12000,0.2145590277406826,0.17542724226722586,0.6845114591876374,1.335681541149869,4.774693089397599,0.17308850956361452,3.19031767805614,1.3828134156313927
11,Outer_Race,1,1772,12000,0.25339245890585205,0.2077732552289233,0.5827626694511903,1.2551061532587149,3.525951458473463,-0.4934584674647409,2.299842197228591,1.233118372394959
12,Normal,1,1772,12000,0.1042544235797983,0.08259789982487133,0.3779028543180771,0.8121972095664347,2.96619026167334,-0.06520711460114578,3.6248136178972117,1.3972482672357722
13,Outer_Race,1,1772,12000,0.273846534562599,0.2446281280264996,0.6248612654740849,1.161777814095441,4.9705869165172665,0.21513242699036136,2.281793583665916,1.1596183998531098
14,Normal,3,1730,12000,0.09433863538639654,0.08158747855088118,0.3524112230004026,0.6418210401238457,2.928038956764687,0.14466540845379167,3.735598056480046,1.2445263926969001
15,Inner_Race,2,1750,12000,0.26756679417439555,0.21525150469812152,0.7653057569858527,1.42032272781691,4.676973580479921,0.1527463783818814,2.860241904632752,1.19737798966517
16,Ball,3,1730,12000,0.16207329252111052,0.11308441775654893,0.7228248674618826,1.3163154542670976,5.288497439490146,0.165344547472927,4.4598641529278025,1.2914252225480534
17,Ball,0,1797,12000,0.30081538204690284,0.24126588645357303,0.7780706768243321,1.6152906683590162,5.119436467103965,-0.04216293835011316,2.586538864900918,1.1880015607255532
18,Ball,0,1797,12000,0.1542734148023982,0.13257286636414872,0.626289642221509,1.3941220532780711,6.063254361912564,0.0724713689796002,4.059608345505898,1.240249601429829
19,Ball,0,1797,12000,0.2611870969575322,0.22480672157011605,0.6879647661584778,1.4018597356719567,5.979563901585698,-0.14045163588139742,2.633992161834616,1.289736307457898
20,Ball,2,1750,12000,0.18419745284864453,0.13083476578581277,0.7830572073709418,1.7927517858932467,6.283930918908668,-0.4065211221566291,4.251183690441049,1.2062810763305962
21,Inner_Race,2,1750,12000,0.3637685079938845,0.28831979144718417,0.6579128995907039,1.1044628009217397,5.146704892387153,-0.11588993235867937,1.8086032329158201,1.2376461246865047
22,Normal,3,1730,12000,0.1135714556119399,0.10010991735225624,0.31710644580796293,0.5765288149839455,1.5141873265975105,-0.06660338351879426,2.7921315624541942,1.2874383157603986
23,Ball,2,1750,12000,0.14040825288867512,0.11895122169468914,0.6811225590068943,1.2450118333788807,5.194985176897754,0.2678261347324039,4.851015129053226,1.213419235725882
24,Outer_Race,0,1797,12000,0.26333735129253966,0.19759393927915905,0.5822529590106013,1.1782305360778562,4.3415899203257,0.10886458398935446,2.211053449701408,1.300757742949271
25,Outer_Race,2,1750,12000,0.25568744954432826,0.2181299103344393,0.37696567230348416,0.8257240469702264,2.923802089055985,-0.15401225638903132,1.474322157678412,1.1890409594773947
